0.016593,	0.290000,	0.000030,	0.000000,	
0.018412,	0.290000,	0.000029,	-0.000000,	
0.020140,	0.290000,	0.000028,	-0.000000,	
0.021794,	0.290000,	0.000027,	-0.000000,	
0.023385,	0.290000,	0.000026,	-0.000000,	
0.024923,	0.290000,	0.000025,	-0.000000,	
0.026415,	0.290000,	0.000024,	-0.000000,	
0.027866,	0.290000,	0.000024,	-0.000000,	
0.029281,	0.290000,	0.000023,	-0.000000,	
0.030664,	0.290000,	0.000023,	-0.000000,	
0.032017,	0.290000,	0.000022,	-0.000000,	
0.033343,	0.290000,	0.000022,	-0.000000,	
0.034644,	0.290000,	0.000021,	-0.000000,	
0.035923,	0.290000,	0.000021,	-0.000000,	
0.037181,	0.290000,	0.000021,	-0.000000,	
0.038419,	0.290000,	0.000020,	-0.000000,	
0.039639,	0.290000,	0.000020,	-0.000000,	
0.040842,	0.290000,	0.000020,	-0.000000,	
0.042029,	0.290000,	0.000020,	-0.000000,	
0.043201,	0.290000,	0.000019,	-0.000000,	
0.044358,	0.290000,	0.000019,	-0.000000,	
0.045502,	0.290000,	0.000019,	-0.000000,	
0.046633,	0.290000,	0.000019,	-0.000000,	
0.047752,	0.289999,	0.000018,	-0.000000,	
0.048859,	0.289999,	0.000018,	-0.000000,	
0.049955,	0.289999,	0.000018,	-0.000000,	
0.051041,	0.289999,	0.000018,	-0.000000,	
0.052116,	0.289999,	0.000018,	-0.000000,	
0.053182,	0.289999,	0.000018,	-0.000000,	
0.054238,	0.289999,	0.000017,	-0.000000,	
0.055286,	0.289999,	0.000017,	-0.000000,	
0.056325,	0.289999,	0.000017,	-0.000000,	
0.057355,	0.289999,	0.000017,	-0.000000,	
0.058378,	0.289999,	0.000017,	-0.000000,	
0.059393,	0.289999,	0.000017,	-0.000000,	
0.060401,	0.289999,	0.000017,	-0.000000,	
0.061401,	0.289999,	0.000017,	-0.000000,	
0.062395,	0.289999,	0.000016,	-0.000000,	
0.063381,	0.289999,	0.000016,	-0.000000,	
0.064362,	0.289999,	0.000016,	-0.000000,	
0.065336,	0.289999,	0.000016,	-0.000000,	
0.066304,	0.289999,	0.000016,	-0.000000,	
0.067266,	0.289999,	0.000016,	-0.000000,	
0.068222,	0.289999,	0.000016,	-0.000000,	
0.069173,	0.289999,	0.000016,	-0.000000,	
0.070118,	0.289999,	0.000016,	-0.000000,	
0.071058,	0.289999,	0.000016,	-0.000000,	
0.071993,	0.289999,	0.000015,	-0.000000,	
0.072923,	0.289999,	0.000015,	-0.000000,	
0.073848,	0.289998,	0.000015,	-0.000000,	
0.074768,	0.289998,	0.000015,	-0.000000,	
0.075684,	0.289998,	0.000015,	-0.000000,	
0.076595,	0.289998,	0.000015,	-0.000000,	
0.077502,	0.289998,	0.000015,	-0.000000,	
0.078404,	0.289998,	0.000015,	-0.000000,	
0.079302,	0.289998,	0.000015,	-0.000000,	
0.080196,	0.289998,	0.000015,	-0.000000,	
0.081086,	0.289998,	0.000015,	-0.000000,	
0.081973,	0.289998,	0.000015,	-0.000000,	
0.082855,	0.289998,	0.000015,	-0.000000,	
0.083733,	0.289998,	0.000015,	-0.000000,	
0.084608,	0.289998,	0.000015,	-0.000000,	
0.085480,	0.289998,	0.000014,	-0.000000,	
0.086347,	0.289998,	0.000014,	-0.000000,	
0.087212,	0.289998,	0.000014,	-0.000000,	
0.088073,	0.289998,	0.000014,	-0.000000,	
0.088930,	0.289998,	0.000014,	-0.000000,	
0.089784,	0.289998,	0.000014,	-0.000000,	
0.090636,	0.289998,	0.000014,	-0.000000,	
0.091484,	0.289998,	0.000014,	-0.000000,	
0.092329,	0.289997,	0.000014,	-0.000000,	
0.093170,	0.289997,	0.000014,	-0.000000,	
0.094009,	0.289997,	0.000014,	-0.000000,	
0.094845,	0.289997,	0.000014,	-0.000000,	
0.095679,	0.289997,	0.000014,	-0.000000,	
0.096509,	0.289997,	0.000014,	-0.000000,	
0.097337,	0.289997,	0.000014,	-0.000000,	
0.098162,	0.289997,	0.000014,	-0.000000,	
0.098984,	0.289997,	0.000014,	-0.000000,	
0.099803,	0.289997,	0.000014,	-0.000000,	
0.100620,	0.289997,	0.000014,	-0.000000,	
0.101435,	0.289997,	0.000014,	-0.000000,	
0.102247,	0.289997,	0.000013,	-0.000000,	
0.103057,	0.289997,	0.000013,	-0.000000,	
0.103864,	0.289997,	0.000013,	-0.000000,	
0.104669,	0.289997,	0.000013,	-0.000000,	
0.105471,	0.289997,	0.000013,	-0.000000,	
0.106271,	0.289997,	0.000013,	-0.000000,	
