-0.547922,	-0.000003,	8.162139,	-2.141435,	7.857862,	-8.848986,	
-0.357894,	-0.000083,	9.539390,	-0.320045,	8.764174,	-8.529145,	
-0.660347,	-0.000067,	-8.048784,	-8.936327,	-0.719882,	-8.367749,	
-0.239118,	-0.000100,	6.978047,	-2.394109,	8.810277,	-10.953917,	
-0.570688,	-0.000080,	-0.015415,	-7.310664,	4.750929,	-11.308915,	
-0.424271,	-0.000027,	3.077241,	-5.462841,	6.888588,	-11.740754,	
1.116600,	-0.000056,	0.389360,	-7.678780,	2.079039,	-8.590835,	
1.124991,	-0.000025,	9.526552,	-2.322857,	5.803476,	-4.825097,	
1.159127,	-0.000001,	11.328092,	1.255399,	5.883920,	-1.098989,	
-0.424587,	-0.000038,	-9.239855,	-9.203334,	-0.729737,	-8.538380,	
1.927248,	-0.000013,	-6.349061,	-2.738684,	-3.889185,	-4.095868,	
-1.863261,	-0.000020,	-5.851691,	-3.660827,	-3.603283,	-4.699632,	
-1.416616,	-0.000047,	0.490930,	-7.367792,	0.821061,	-7.493921,	
1.069190,	-0.000064,	3.372058,	-6.639180,	3.710897,	-8.423298,	
-0.582767,	-0.000096,	1.696657,	-6.551051,	5.501116,	-11.144459,	
0.529838,	-0.000064,	1.835005,	-6.371145,	5.840314,	-11.410498,	
-0.698473,	-0.000089,	2.487800,	-6.401353,	5.228782,	-10.405986,	
0.927377,	-0.000017,	1.651082,	-7.174132,	3.630886,	-9.352377,	
-2.676560,	-0.000013,	3.694687,	-3.799594,	0.248606,	-3.577390,	
