3.024105,	-0.000032,	2.957864,	-3.254200,	-0.270204,	-3.522542,	
-1.080222,	-0.000021,	11.098535,	0.207960,	6.186980,	-2.707040,	
-0.261496,	-0.000026,	-1.960674,	-7.704104,	5.138226,	-12.667687,	
-2.492411,	-0.000007,	2.023821,	-4.145124,	-0.935998,	-4.890716,	
-0.548288,	-0.000048,	-5.299137,	-8.888000,	1.797896,	-10.422402,	
-1.765658,	-0.000018,	7.499860,	-4.421066,	3.385393,	-3.765607,	
-0.357637,	-0.000066,	-2.301836,	-7.933473,	4.570014,	-12.214431,	
-2.520173,	-0.000043,	2.017453,	-4.063152,	-0.960430,	-4.844009,	
-1.405779,	-0.000056,	-1.104294,	-7.488444,	0.063984,	-7.498958,	
0.618869,	-0.000048,	3.914343,	-5.434105,	6.240156,	-10.516756,	
0.769262,	-0.000057,	-0.746846,	-7.852421,	3.298159,	-10.221768,	
-0.215226,	-0.000020,	11.660085,	2.463213,	8.850101,	-6.182738,	
-0.761149,	-0.000006,	12.385134,	3.483575,	6.683264,	-1.355426,	
3.090502,	-0.000024,	0.164841,	-2.371605,	-2.197945,	-4.566685,	
-0.878874,	-0.000089,	1.572540,	-7.146092,	3.849950,	-9.602696,	
0.624265,	-0.000104,	2.422032,	-6.275380,	5.599782,	-10.818665,	
-0.370111,	-0.000020,	1.429121,	-6.273949,	6.436254,	-12.274434,	
0.317856,	-0.000086,	1.556177,	-6.118051,	6.711686,	-12.493352,	
-0.364420,	-0.000087,	1.733784,	-6.101480,	6.597140,	-12.265592,	
0.484103,	-0.000045,	1.440292,	-6.480583,	5.898238,	-11.700949,	
-0.996562,	-0.000026,	3.296876,	-6.576386,	4.029084,	-8.765041,	
1.349321,	-0.000028,	0.772894,	-7.433103,	1.232488,	-7.703810,	
