-0.555146,	-0.000083,	-0.967051,	-6.524033,	3.582545,	-9.568720,	
-0.386044,	-0.000062,	3.752784,	-3.861057,	6.419894,	-9.808634,	
1.036443,	-0.000041,	-4.736388,	-6.675998,	-0.767889,	-6.284951,	
-1.353828,	-0.000004,	8.225923,	0.402251,	4.166201,	-0.494621,	
1.415530,	-0.000001,	7.892083,	-0.132040,	4.004128,	-0.751246,	
2.058385,	-0.000008,	-3.482233,	-0.215535,	-2.012470,	-1.158385,	
-1.512345,	-0.000039,	-2.976763,	-4.930146,	-1.346581,	-4.851429,	
-1.614609,	-0.000037,	0.025386,	-4.888769,	-0.094369,	-4.892898,	
-1.507268,	-0.000029,	1.505201,	-5.142506,	0.917764,	-5.200797,	
-1.532090,	-0.000049,	-0.419246,	-5.208583,	-0.108801,	-5.204368,	
-1.898641,	-0.000036,	0.685332,	-3.589794,	-0.248096,	-3.669673,	
-0.400811,	-0.000017,	-10.238083,	-7.033452,	-3.265030,	-4.027171,	
-0.215175,	-0.000062,	-1.142120,	-6.311019,	4.804528,	-11.004812,	
-0.934924,	-0.000038,	5.890138,	-3.352010,	4.784236,	-6.193416,	
-1.551940,	-0.000021,	-0.957683,	-5.099799,	-0.430786,	-5.091667,	
-1.507390,	-0.000052,	-0.282876,	-5.303179,	0.026767,	-5.304877,	
1.482503,	-0.000044,	-3.179556,	-5.034014,	-1.373276,	-4.912981,	
-1.987797,	-0.000001,	-4.091695,	-0.299698,	-2.294756,	-1.229119,	
1.743770,	-0.000039,	-0.029969,	-4.312412,	-0.391988,	-4.379893,	
