0.462946,	-0.000033,	10.711579,	2.692453,	6.921891,	-3.500740,	
-0.455887,	-0.000035,	-2.812208,	-7.291328,	3.128308,	-10.100193,	
-0.844857,	-0.000007,	6.611126,	-2.940184,	5.491491,	-6.585674,	
-1.330517,	-0.000059,	-2.285435,	-6.214745,	-0.414816,	-6.116006,	
1.231739,	-0.000041,	1.033995,	-6.136713,	1.627400,	-6.677920,	
1.219381,	-0.000002,	7.436794,	-2.536008,	4.416535,	-4.056290,	
-0.947163,	-0.000012,	7.582583,	-2.229439,	5.355550,	-5.357069,	
-0.726770,	-0.000078,	-3.034237,	-7.392713,	1.728079,	-8.684239,	
-0.749390,	-0.000029,	5.531476,	-3.589530,	5.573423,	-7.669969,	
-1.059507,	-0.000006,	7.501849,	-2.433029,	4.937210,	-4.848841,	
-0.851265,	-0.000031,	-1.735843,	-7.072818,	1.868580,	-8.304316,	
-0.176881,	-0.000062,	3.586189,	-3.879890,	7.183326,	-10.951214,	
1.065598,	-0.000064,	-3.134686,	-6.970040,	0.134949,	-7.035345,	
0.951262,	-0.000039,	6.614189,	-3.118665,	5.066503,	-6.060401,	
0.421099,	-0.000024,	-2.522933,	-7.178471,	3.451577,	-10.328485,	
2.035477,	-0.000003,	1.069644,	-3.456283,	-0.266376,	-3.575656,	
-2.067628,	-0.000009,	4.142668,	-2.438787,	1.681084,	-1.637524,	
-1.938842,	-0.000034,	0.820139,	-3.917895,	-0.315072,	-4.031245,	
