1.403060,	-0.000010,	7.920364,	-1.515258,	4.144413,	-2.207131,	
-0.593249,	-0.000068,	7.909550,	-1.221353,	6.797998,	-6.858025,	
-0.671067,	-0.000014,	-4.667685,	-7.682840,	0.973042,	-8.444895,	
-0.291397,	-0.000047,	5.810118,	-2.435821,	7.522598,	-9.641394,	
-0.436046,	-0.000099,	0.454521,	-5.985663,	4.990488,	-10.509393,	
0.004096,	-0.000101,	2.151941,	-4.691253,	6.843032,	-11.534224,	
0.425727,	-0.000018,	0.463758,	-5.967163,	5.038781,	-10.556139,	
-0.015190,	-0.000019,	6.086493,	-1.973008,	8.057420,	-10.029501,	
-0.628759,	-0.000056,	1.383685,	-5.814630,	4.522398,	-9.472303,	
0.661008,	-0.000064,	1.222379,	-5.934763,	4.289834,	-9.320877,	
1.758908,	-0.000017,	-4.717586,	-2.869407,	-2.673874,	-3.369477,	
-1.728607,	-0.000027,	-4.587905,	-3.213331,	-2.578234,	-3.618446,	
-1.550861,	-0.000009,	7.245740,	-1.965179,	3.643189,	-2.037832,	
0.659762,	-0.000019,	10.672092,	2.626985,	6.248778,	-2.310343,	
-0.367697,	-0.000099,	-3.497352,	-7.457691,	3.066123,	-10.318976,	
0.483780,	-0.000033,	5.431797,	-3.087845,	6.712786,	-9.030190,	
0.846528,	-0.000027,	-4.512304,	-7.449804,	0.271426,	-7.629642,	
0.414410,	-0.000009,	7.891031,	-0.859449,	7.467065,	-7.694429,	
-1.327462,	-0.000003,	8.293607,	-1.135032,	4.411597,	-2.197976,	
