-0.963350,	-0.000045,	2.830933,	-4.833479,	3.338909,	-6.739357,	
0.791936,	-0.000000,	-5.584770,	-6.839976,	-0.517679,	-6.476323,	
-0.445890,	-0.000008,	-10.437883,	-5.289980,	-4.776727,	-0.980270,	
1.148237,	-0.000014,	3.038778,	-4.715814,	2.714581,	-5.829019,	
0.232014,	-0.000003,	10.066148,	2.954729,	6.829498,	-3.691771,	
-0.640482,	-0.000015,	-0.902696,	-6.227928,	3.014510,	-8.645012,	
0.052971,	-0.000046,	2.888753,	-3.792797,	6.657525,	-10.440968,	
0.519264,	-0.000008,	-0.482435,	-5.988459,	3.784617,	-9.274189,	
-0.438801,	-0.000086,	-0.229714,	-5.809529,	4.260840,	-9.666860,	
-0.107551,	-0.000018,	2.872098,	-3.824389,	6.598392,	-10.384668,	
0.688747,	-0.000034,	-1.080938,	-6.303743,	2.696389,	-8.385412,	
0.127550,	-0.000001,	9.489017,	2.081126,	7.306568,	-5.166086,	
-0.473163,	-0.000059,	-3.248390,	-6.902725,	2.398218,	-9.037520,	
0.712121,	-0.000070,	4.019810,	-3.906165,	4.888751,	-7.606617,	
-0.430673,	-0.000095,	2.192751,	-4.577639,	5.410027,	-9.493863,	
0.794213,	-0.000028,	-0.702570,	-6.195373,	2.411986,	-7.885756,	
0.435222,	-0.000005,	8.891373,	0.988462,	6.788362,	-5.167052,	
-0.723861,	-0.000049,	-4.746401,	-6.993235,	0.343074,	-7.250296,	
0.734316,	-0.000037,	3.665509,	-4.161072,	4.661090,	-7.620833,	
-0.742688,	-0.000031,	3.723330,	-4.137609,	4.646501,	-7.560566,	
0.678366,	-0.000035,	-4.493005,	-7.037421,	0.707533,	-7.588290,	
-0.144044,	-0.000046,	8.574247,	0.911000,	7.517865,	-6.529058,	
-0.574739,	-0.000075,	-3.796887,	-7.016844,	1.615560,	-8.372904,	
