2.720424,	-0.000025,	0.578108,	-1.723419,	-0.852287,	-2.501235,	
2.664447,	-0.000012,	1.320576,	-2.124390,	-0.467878,	-2.540013,	
-0.982130,	-0.000022,	-2.099762,	-7.659625,	1.272940,	-8.366451,	
-0.421912,	-0.000014,	4.165539,	-4.342099,	6.959837,	-10.691651,	
1.325833,	-0.000059,	-4.614857,	-6.671088,	-1.544068,	-6.296707,	
-0.045798,	-0.000083,	9.092637,	0.208492,	8.865847,	-8.648093,	
-0.952650,	-0.000044,	-5.865853,	-7.829353,	-0.798181,	-7.366758,	
-1.113441,	-0.000017,	6.548714,	-4.214968,	4.659294,	-6.272474,	
-1.174269,	-0.000063,	-3.569269,	-7.382053,	-0.387813,	-7.232250,	
-0.153811,	-0.000106,	4.201331,	-3.890168,	7.861370,	-11.658859,	
1.270281,	-0.000055,	-4.623154,	-6.910007,	-1.348075,	-6.511031,	
0.310053,	-0.000030,	8.466391,	-0.710058,	8.363838,	-8.675010,	
-0.932122,	-0.000046,	9.425600,	-1.099414,	6.129842,	-4.753831,	
-1.211946,	-0.000018,	0.988429,	-6.872222,	1.812835,	-7.508917,	
1.108967,	-0.000015,	1.940090,	-6.619134,	2.714127,	-7.828478,	
-2.539329,	-0.000020,	2.581540,	-2.682459,	0.280915,	-2.450973,	
-2.677017,	-0.000017,	0.570397,	-1.878539,	-0.923604,	-2.704245,	
-0.557917,	-0.000078,	7.883151,	-1.830344,	7.370645,	-8.083606,	
2.312187,	-0.000012,	-4.645053,	0.225265,	-2.910043,	-1.739955,	
-1.728091,	-0.000010,	-3.208491,	-5.037856,	-2.023626,	-5.354830,	
