2.322434,	-0.000007,	-5.183654,	-0.914199,	-3.786791,	-3.499977,	
-2.066318,	-0.000017,	-4.143526,	-3.469914,	-3.265862,	-5.022753,	
-0.299080,	-0.000015,	-8.099951,	-9.302121,	0.726234,	-9.996120,	
-0.595197,	-0.000045,	-1.129889,	-7.785199,	4.045275,	-11.134944,	
-1.106556,	-0.000010,	4.664027,	-6.074505,	4.103267,	-7.911753,	
1.614158,	-0.000006,	-4.614425,	-6.002546,	-2.439622,	-6.108312,	
-1.960520,	-0.000003,	-7.964579,	-0.157905,	-4.324392,	-1.800872,	
-0.644175,	-0.000081,	-5.816126,	-8.928019,	0.972469,	-9.705648,	
-2.067781,	-0.000034,	6.387700,	-4.577626,	2.372258,	-3.446659,	
-3.081268,	-0.000009,	2.177661,	-3.101888,	-0.915255,	-4.015478,	
-2.082064,	-0.000012,	0.409183,	-5.268220,	-1.231624,	-5.870820,	
1.362477,	-0.000020,	10.012368,	-1.693459,	5.294493,	-2.788341,	
-1.058543,	-0.000019,	10.027775,	-1.584579,	6.139797,	-4.594057,	
-2.047652,	-0.000001,	1.655201,	-5.581709,	-0.506743,	-5.814297,	
3.130622,	-0.000012,	-2.192097,	-0.903398,	-3.095070,	-3.998282,	
-2.103062,	-0.000023,	-0.878697,	-4.832341,	-1.911615,	-5.802422,	
