1.340094,	-0.003321,	2.609997,	-5.228985,	1.943766,	-5.667164,	
0.688009,	-0.002590,	9.528723,	0.784400,	6.348174,	-4.109183,	
-0.852588,	-0.002944,	-5.249819,	-7.278555,	-0.283973,	-7.091062,	
-0.085592,	-0.008139,	4.905608,	-2.772516,	7.624167,	-10.373827,	
0.790205,	-0.006827,	-5.433028,	-7.373695,	-0.185261,	-7.244228,	
-0.525012,	-0.001912,	9.495629,	0.866830,	6.998192,	-5.195528,	
-0.978330,	-0.004301,	0.460747,	-6.352763,	2.393329,	-7.697744,	
0.861185,	-0.000741,	1.443270,	-5.900201,	3.352407,	-8.082539,	
-0.429504,	-0.008492,	-0.871908,	-6.505421,	4.340475,	-10.466867,	
-0.688000,	-0.003852,	4.373909,	-4.181570,	5.441071,	-8.398173,	
0.887261,	-0.003079,	-7.838848,	-6.675867,	-2.268297,	-5.248772,	
1.754273,	-0.002174,	-4.027656,	-3.389698,	-2.366998,	-3.826612,	
-1.869422,	-0.001656,	-4.383288,	-2.265629,	-2.635990,	-3.036982,	
0.425236,	-0.004881,	-8.293159,	-8.101416,	-0.791948,	-7.381601,	
0.262237,	-0.001439,	-9.748543,	-8.154554,	-1.756506,	-6.458755,	
1.539292,	-0.000589,	-7.854415,	-2.078653,	-3.896944,	-1.958199,	
-1.415406,	-0.003501,	-5.643264,	-5.286293,	-2.433890,	-4.901195,	
1.526828,	-0.001006,	-1.698480,	-5.848190,	-0.724322,	-5.817081,	
1.142977,	-0.002887,	5.928238,	-4.216129,	4.189176,	-5.943152,	
0.671271,	-0.002629,	-2.809478,	-7.578712,	2.240124,	-9.329131,	
0.997751,	-0.000951,	8.213229,	-2.142091,	5.491236,	-5.115017,	
-0.315219,	-0.000292,	-0.870298,	-6.689607,	5.009663,	-11.452889,	
-1.110218,	-0.005039,	4.908798,	-4.924419,	3.958878,	-6.701853,	
0.380373,	-0.010144,	-4.221051,	-7.903923,	2.696989,	-10.397861,	
0.196246,	-0.001995,	9.884185,	1.230502,	8.353760,	-6.959644,	
-0.246563,	-0.005895,	-7.445990,	-8.558644,	0.819433,	-9.354460,	
-0.213842,	-0.008337,	-3.444887,	-7.705172,	3.934323,	-11.556710,	
1.274886,	-0.000352,	4.723586,	-5.272539,	3.268315,	-6.224516,	
0.080135,	-0.007323,	-0.383518,	-6.383192,	5.930037,	-12.290565,	
-1.767843,	-0.004116,	4.763352,	-4.728044,	1.964519,	-4.351376,	
-2.482635,	-0.001652,	2.658205,	-2.484290,	0.506040,	-2.084712,	
2.221848,	-0.002686,	-0.477289,	-3.261497,	-1.509555,	-4.179544,	
1.615879,	-0.002631,	-5.413200,	-4.567392,	-2.818727,	-4.701832,	
-1.774774,	-0.002759,	-6.686937,	-2.246151,	-3.640645,	-2.973785,	
-1.093390,	-0.001366,	-7.224944,	-7.016102,	-2.233344,	-5.987221,	
-0.528247,	-0.002259,	5.709639,	-3.556251,	7.016521,	-9.624338,	
0.721165,	-0.001025,	-10.145862,	-7.374861,	-3.209597,	-4.966509,	
1.519503,	-0.003584,	-6.906859,	-4.513156,	-3.349621,	-4.353410,	
-1.576047,	-0.000667,	-7.669588,	-3.389465,	-3.842602,	-3.407076,	
-0.565887,	-0.002442,	7.790945,	-1.875770,	7.295586,	-8.043606,	
-1.420589,	-0.005220,	-3.670083,	-6.355501,	-1.359407,	-6.145062,	
1.010199,	-0.001700,	3.475193,	-5.763899,	3.799967,	-7.778837,	
-0.751226,	-0.001698,	2.548005,	-5.900560,	4.690250,	-9.333873,	
1.094594,	-0.007638,	0.302690,	-6.941167,	1.913839,	-7.805467,	
1.122810,	-0.000333,	8.664558,	-2.117249,	5.285669,	-4.405159,	
1.087860,	-0.001271,	5.996994,	-4.382025,	4.495921,	-6.464785,	
0.874392,	-0.005191,	-3.924056,	-7.854568,	0.679592,	-8.287790,	
0.188274,	-0.000100,	-12.196501,	-7.271917,	-4.882026,	-2.476253,	
1.309167,	-0.001375,	-9.051896,	-4.099177,	-4.135454,	-3.035018,	
-1.311401,	-0.000697,	-8.274676,	-4.983900,	-3.616060,	-4.053958,	
1.334378,	-0.004388,	3.282935,	-6.108873,	2.407498,	-6.662486,	
-2.447537,	-0.001766,	2.725847,	-3.210249,	0.185621,	-3.067780,	
-2.045157,	-0.002269,	0.727915,	-4.628355,	-0.767806,	-4.977515,	
2.064265,	-0.002282,	3.655370,	-4.280309,	0.912919,	-3.846040,	
-1.131246,	-0.003073,	3.084545,	-6.150059,	3.148102,	-7.498427,	
1.445975,	-0.003559,	-2.990083,	-6.374589,	-1.117669,	-6.239390,	
-2.381774,	-0.000095,	-4.587438,	1.516010,	-2.365837,	-0.198975,	
0.196764,	-0.003625,	7.535787,	-1.321537,	8.494326,	-9.645885,	
-2.476723,	-0.001210,	-0.749377,	-1.906538,	-1.627134,	-3.185872,	
-2.065584,	-0.000153,	6.172125,	-2.031610,	2.934493,	-0.638577,	
-1.225057,	-0.001375,	-1.454778,	-7.038788,	0.498717,	-7.208444,	
0.620053,	-0.009574,	3.190483,	-5.185340,	5.481043,	-9.615378,	
0.063752,	-0.010147,	0.416649,	-5.921315,	6.287529,	-12.191683,	
-0.904367,	-0.003441,	3.887532,	-5.328185,	4.456924,	-8.095418,	
1.307658,	-0.002188,	-6.045472,	-5.922426,	-2.336511,	-5.319610,	
-1.274561,	-0.002887,	-6.271244,	-6.190842,	-2.324381,	-5.505890,	
0.546302,	-0.002974,	4.314224,	-4.360061,	6.312433,	-9.743952,	
0.856754,	-0.005143,	-1.919424,	-7.501176,	1.880362,	-8.725288,	
1.561416,	-0.000748,	5.650887,	-4.643112,	2.845589,	-4.667675,	
0.527538,	-0.002168,	-2.339401,	-7.567354,	3.338538,	-10.448365,	
-0.207219,	-0.002073,	11.050408,	2.488047,	8.271291,	-5.609804,	
-2.183976,	-0.001638,	2.368981,	-4.103242,	0.007895,	-4.098710,	
-0.517011,	-0.003602,	-7.921226,	-8.560437,	-0.374181,	-8.234497,	
2.064789,	-0.000615,	0.774822,	-4.454158,	-0.754789,	-4.812446,	
2.325141,	-0.003621,	2.035713,	-3.710198,	-0.337069,	-3.941914,	
-1.516892,	-0.001965,	0.407207,	-6.585334,	0.388070,	-6.607004,	
1.548923,	-0.001567,	-0.743391,	-6.449032,	-0.306286,	-6.442813,	
-1.039930,	-0.000336,	-8.025531,	-7.210748,	-2.508210,	-5.940163,	
-0.909435,	-0.006064,	6.588154,	-4.052670,	5.626030,	-7.534993,	
0.092699,	-0.003786,	-7.210803,	-8.920024,	1.652398,	-10.564736,	
0.444222,	-0.001270,	9.577554,	-0.123609,	8.171790,	-7.497823,	
