0.685218,	-0.002245,	10.398191,	1.847031,	6.395356,	-3.095677,	
-0.147810,	-0.007235,	-6.745689,	-8.223194,	1.369503,	-9.579188,	
0.198577,	-0.006007,	-7.503223,	-8.349367,	0.645385,	-8.981292,	
-0.661888,	-0.000640,	10.423730,	1.569220,	6.669896,	-3.694837,	
-0.144916,	-0.005348,	-8.846764,	-8.521609,	-0.400271,	-8.125230,	
0.303325,	-0.003330,	-9.019075,	-8.461142,	-0.873096,	-7.628777,	
0.075973,	-0.000523,	-10.334187,	-8.472225,	-1.875783,	-6.601928,	
1.947404,	-0.002934,	-5.452375,	-1.775487,	-3.280225,	-2.990794,	
-1.757883,	-0.004439,	-4.432878,	-4.095793,	-2.631817,	-4.573818,	
1.933637,	-0.001378,	-0.763315,	-4.590671,	-1.280544,	-5.046825,	
1.475162,	-0.003082,	4.520015,	-5.380565,	2.519405,	-5.613410,	
-0.266089,	-0.003775,	0.510992,	-6.133560,	6.029302,	-11.956615,	
-0.259232,	-0.005956,	2.355370,	-5.100958,	6.862691,	-11.744706,	
0.790217,	-0.007924,	0.362286,	-6.844343,	3.397739,	-9.216097,	
0.068028,	-0.006499,	-4.979612,	-8.209068,	3.188989,	-11.389205,	
-0.213949,	-0.010186,	-2.546200,	-7.498492,	4.608456,	-12.011609,	
-1.543680,	-0.001190,	7.479826,	-3.557302,	3.791771,	-3.664616,	
-2.497372,	-0.001550,	1.503614,	-2.886987,	-0.588791,	-3.357217,	
-2.823595,	-0.001245,	-0.109133,	-1.185415,	-1.123943,	-2.252569,	
-1.010039,	-0.002359,	10.060338,	-0.312606,	5.963278,	-3.495945,	
-2.605218,	-0.001099,	2.731647,	-2.634064,	0.371579,	-2.314876,	
-2.835155,	-0.000304,	0.755750,	-1.609596,	-0.713647,	-2.289931,	
2.334112,	-0.001334,	4.498335,	-3.078232,	1.556689,	-2.000561,	
-1.868752,	-0.001939,	3.317067,	-5.245792,	0.933104,	-4.973594,	
-2.377063,	-0.000830,	1.414315,	-3.414588,	-0.708163,	-3.925268,	
-2.145141,	-0.000744,	-0.057936,	-4.054399,	-1.323994,	-4.772877,	
-2.140430,	-0.002745,	-0.320019,	-3.999662,	-1.441837,	-4.773943,	
-1.791752,	-0.001371,	7.398251,	-2.938141,	3.461240,	-2.184199,	
1.900196,	-0.004079,	-2.192995,	-4.585050,	-1.951460,	-5.223825,	
2.857278,	-0.000068,	-2.488941,	0.697935,	-1.686388,	-0.920783,	
-2.028896,	-0.002761,	-2.308336,	-3.840054,	-2.212472,	-4.813025,	
0.893943,	-0.000102,	10.320175,	0.004526,	6.417079,	-4.014258,	
2.776131,	-0.001380,	-0.594135,	-1.416309,	-1.701814,	-3.006572,	
2.331704,	-0.002994,	-3.330266,	-1.608688,	-2.920206,	-3.628723,	
-2.345152,	-0.000563,	-3.326981,	-1.517667,	-2.902616,	-3.546169,	
-2.344049,	-0.002810,	0.191741,	-3.438839,	-1.454334,	-4.451714,	
1.777451,	-0.000920,	-6.345667,	-3.248983,	-3.583722,	-3.987540,	
-1.759413,	-0.003796,	-6.115086,	-3.637574,	-3.450039,	-4.271590,	
2.107434,	-0.003364,	2.240609,	-4.765723,	-0.120777,	-4.827819,	
-2.851647,	-0.002376,	2.211687,	-2.471295,	-0.142902,	-2.608135,	
-1.938734,	-0.002242,	0.554586,	-5.342795,	-0.724308,	-5.601807,	
-1.908749,	-0.000187,	1.652819,	-5.551446,	-0.098836,	-5.584198,	
-1.039530,	-0.001126,	-0.726570,	-7.634992,	1.807284,	-8.552361,	
0.036326,	-0.005631,	3.173378,	-4.632613,	7.788212,	-12.413971,	
0.985592,	-0.004331,	-0.758304,	-7.550169,	1.992434,	-8.643526,	
1.671461,	-0.003310,	6.108653,	-4.874239,	2.816555,	-4.581917,	
0.900910,	-0.007946,	-5.216093,	-8.249732,	-0.089638,	-8.194636,	
-2.986437,	-0.000196,	2.187159,	-2.454645,	-0.232363,	-2.684209,	
-2.213038,	-0.001300,	0.414025,	-4.289449,	-1.309535,	-5.072486,	
